"","1","2","3","4","5","6","7","8","9","10","11","12"
"Olfr111",6.61607510268904,6.79633293294021,6.58195410507786,4.11851375967139,3.41577115722012,3.89371948591708,4.29486854825779,3.46154780093102,4.61643059536283,3.43408007039575,2.31175919714538,3.37329176202359
"Clec7a",8.0560030697941,8.05158724050771,8.10337959960183,4.6814327124801,4.84337859673435,4.68603532459939,4.6984750292377,5.00301612734259,4.66306873755762,4.60327258277755,4.93280148077474,4.28380364095324
"G530011O06Rik",6.06101193045643,6.2291082063372,5.74914780307933,6.56034593495147,5.89627130812172,5.9125746021477,6.96461435312941,6.83594002131635,6.7964263615409,5.32349129613744,5.05326323662606,5.40458425715423
"Pisd-ps3",8.12927121792443,7.77998214306156,7.74527520834583,7.58457669371541,8.11323021807769,8.02677804277413,7.16855958883446,7.48002415709312,7.07203757319951,8.34730811253237,8.53860384197055,8.44787352078136
"Mrgpra9",3.49155096323955,3.78738530883258,3.82095514609997,4.87284822880825,4.65120985580129,4.59187619563405,4.07957874096478,3.37852214235821,4.06900301805861,3.924097221447,3.99316692083696,3.78707103759287
"Eqtn",4.74579988796937,4.55498133151527,4.43191743436747,4.79457516711575,5.064716956858,5.06152798451779,5.57114137079357,5.32851168240711,4.84158035639863,4.69868138860172,4.23778923106046,4.62899277436965
"Mamdc2",5.99964443437256,6.30054413336082,5.69411921346006,4.70872927209002,4.82404406733613,5.44886679876028,5.11793896420523,5.26748206236913,5.22301474582299,4.78550206899986,5.76062899132541,5.37015215600306
"C030013G03Rik",5.04841880450035,4.98182502110909,4.88998480440374,5.49205130407381,5.43790213400606,5.41746296166042,5.46426938333023,5.04510933911082,4.86222523949439,4.32802904920537,4.14169076074313,3.76200416465496
"Cox7b2",4.34870709154657,4.08205419256137,3.59579238188275,4.39487281726055,4.06953662494333,4.21431437960313,5.40804728767602,4.80989353518068,4.88775046003246,4.16803327322056,3.91304921834297,3.97262747472581
"Fcrls",8.61774445777707,8.48512356720892,8.37559402316523,7.50820268972951,7.52427774077141,7.34485572620242,7.17154438766656,7.23080144505344,7.38707359832128,7.25316322534089,7.27447381143685,7.41989182649028
"Trem2",8.45509115666253,8.31356192135164,8.56851806349257,6.82863845927808,6.70461587256839,6.81917712630984,6.85219542786831,6.8548097688003,6.665170992135,6.12415561103868,6.44988811900754,6.41432167862777
"Gpnmb",7.51370413910739,7.72567405938053,7.67959378913101,6.06093533502643,6.12794680386342,5.9820798907963,5.87113667722685,6.21584560697874,5.86451034283697,6.00398137752281,5.9301897465734,5.96673369366515
